Longitude,Latitude,label,cluster_id,fold,mod_label
120.792217,15.455335,presence,17,6.0,1
120.34,15.92,presence,17,6.0,1
120.8723,14.2541,presence,17,6.0,1
120.41,15.92,presence,17,6.0,1
120.51,16.1,presence,17,6.0,1
120.3103,15.9944,presence,17,6.0,1
119.88248,16.38,presence,17,6.0,1
121.556797,14.112937,presence,17,6.0,1
123.98504,10.392682,presence,42,7.0,1
120.72969,13.940065,presence,17,6.0,1
121.002803,13.788571,presence,17,6.0,1
120.813189,13.932901,presence,17,6.0,1
121.050596,13.899576,presence,17,6.0,1
121.133788,13.81962,presence,17,6.0,1
120.878248,13.914406,presence,17,6.0,1
121.163979,13.942064,presence,17,6.0,1
121.238565,13.672843,presence,17,6.0,1
121.110871,14.057659,presence,17,6.0,1
121.113009,13.958974,presence,17,6.0,1
120.6005,14.125922,presence,17,6.0,1
121.215062,13.878996,presence,17,6.0,1
121.20296,13.84483,presence,17,6.0,1
121.034803,13.806742,presence,17,6.0,1
120.92803,13.892911,presence,17,6.0,1
121.148186,14.083301,presence,17,6.0,1
121.18957,13.796823,presence,17,6.0,1
120.729175,14.017524,presence,17,6.0,1
123.822942,10.264249,presence,42,7.0,1
123.654442,10.38787,presence,42,7.0,1
123.903022,10.340842,presence,42,7.0,1
123.885351,10.315785,presence,42,7.0,1
121.036706,14.599365,presence,17,6.0,1
120.608722,16.395784,presence,17,6.0,1
120.605696,16.424045,presence,17,6.0,1
120.588552,16.411037,presence,17,6.0,1
122.497444,11.40061,presence,42,7.0,1
122.769413,11.468921,presence,42,7.0,1
122.932491,11.429552,presence,42,7.0,1
122.666073,11.416428,presence,42,7.0,1
122.527542,11.265959,presence,42,7.0,1
122.738857,11.315114,presence,42,7.0,1
122.685642,11.392196,presence,42,7.0,1
122.616634,11.300301,presence,42,7.0,1
122.682152,11.271346,presence,42,7.0,1
122.682552,11.517032,presence,42,7.0,1
122.781644,11.384287,presence,42,7.0,1
122.595634,11.431571,presence,42,7.0,1
122.587452,11.504585,presence,42,7.0,1
122.83433,11.480193,presence,42,7.0,1
120.961207,14.623306,presence,17,6.0,1
123.200122,9.100105,presence,42,7.0,1
123.173794,9.095974,presence,42,7.0,1
123.187523,9.114978,presence,42,7.0,1
123.537025,10.120302,presence,42,7.0,1
125.640221,7.224206,presence,43,7.0,1
123.635216,10.09867,presence,42,7.0,1
124.018636,10.593796,presence,42,7.0,1
124.012291,10.720827,presence,42,7.0,1
123.942833,10.439871,presence,42,7.0,1
124.025917,11.249123,presence,42,7.0,1
125.447273,7.278698,presence,43,7.0,1
124.000151,10.458181,presence,42,7.0,1
125.470505,6.976865,presence,43,7.0,1
123.848762,10.725381,presence,42,7.0,1
122.118688,6.957525,presence,42,7.0,1
122.142684,6.952371,presence,42,7.0,1
122.001346,6.934479,presence,42,7.0,1
122.10989,6.907341,presence,42,7.0,1
122.091812,6.932327,presence,42,7.0,1
122.04149,6.921357,presence,42,7.0,1
122.081101,6.902399,presence,42,7.0,1
123.140144,11.568162,presence,42,7.0,1
120.391502,17.592976,presence,17,6.0,1
120.50005,17.333597,presence,17,6.0,1
120.400858,17.536023,presence,17,6.0,1
120.696913,15.029893,presence,17,6.0,1
120.401802,17.622427,presence,17,6.0,1
120.519962,17.270006,presence,17,6.0,1
120.427294,17.68736,presence,17,6.0,1
120.440254,17.497389,presence,17,6.0,1
120.450954,16.934646,presence,17,6.0,1
125.582285,7.101574,presence,43,7.0,1
125.559454,7.049786,presence,43,7.0,1
120.383949,17.569411,presence,17,6.0,1
123.7894,10.243,presence,42,7.0,1
122.9675,10.7382,presence,42,7.0,1
123.750572,10.219653,presence,42,7.0,1
121.091795,14.554841,presence,17,6.0,1
121.015513,14.555796,presence,17,6.0,1
123.514466,9.214034,presence,42,7.0,1
125.283737,6.085936,presence,43,7.0,1
120.052986,15.158299,presence,17,6.0,1
120.195572,14.94777,presence,17,6.0,1
120.810939,15.779183,presence,17,6.0,1
120.963246,14.616184,presence,17,6.0,1
122.524666,10.684886,presence,42,7.0,1
120.211487,15.10925,presence,17,6.0,1
122.117043,10.883208,presence,42,7.0,1
122.072411,11.420129,presence,42,7.0,1
123.797836,8.466939,presence,42,7.0,1
123.847389,8.151681,presence,42,7.0,1
123.742332,8.066708,presence,42,7.0,1
124.716053,9.248176,presence,42,7.0,1
121.054913,14.754175,presence,17,6.0,1
124.650693,8.504631,presence,43,7.0,1
124.69059,9.128538,presence,42,7.0,1
125.097141,8.180567,presence,43,7.0,1
124.981728,8.049032,presence,43,7.0,1
124.353847,8.559294,presence,42,7.0,1
124.87587,8.36641,presence,43,7.0,1
120.67028,15.779039,presence,17,6.0,1
124.720688,7.497281,presence,43,7.0,1
125.088158,7.01912,presence,43,7.0,1
124.934921,7.084539,presence,43,7.0,1
124.53392,7.192188,presence,43,7.0,1
124.880791,6.945512,presence,43,7.0,1
125.05,7.033333,presence,43,7.0,1
124.422433,7.279422,presence,43,7.0,1
124.886284,6.833716,presence,43,7.0,1
122.531862,10.715093,presence,42,7.0,1
124.80526,6.386271,presence,43,7.0,1
124.708872,6.225204,presence,43,7.0,1
124.663868,6.518978,presence,43,7.0,1
125.066185,6.212234,presence,43,7.0,1
124.680004,6.437789,presence,43,7.0,1
124.734535,6.358975,presence,43,7.0,1
125.064812,6.47975,presence,43,7.0,1
124.759254,6.568435,presence,43,7.0,1
124.974861,6.341232,presence,43,7.0,1
124.784718,8.743936,presence,43,7.0,1
124.915695,8.62583,presence,43,7.0,1
124.516869,8.526022,presence,43,7.0,1
125.098457,8.825367,presence,43,7.0,1
124.791584,8.799922,presence,43,7.0,1
125.0037,8.907458,presence,43,7.0,1
124.562759,8.514477,presence,43,7.0,1
122.203581,7.070144,presence,42,7.0,1
124.852524,6.489983,presence,43,7.0,1
125.044899,6.952328,presence,43,7.0,1
122.070973,6.931624,presence,42,7.0,1
120.992707,14.637362,presence,17,6.0,1
121.949387,10.512117,presence,42,7.0,1
122.8357,10.5364,presence,42,7.0,1
123.985221,10.27429,presence,42,7.0,1
124.7909,8.5309,presence,43,7.0,1
120.957699,14.663976,presence,17,6.0,1
121.065707,14.56445,presence,17,6.0,1
121.037777,14.580441,presence,17,6.0,1
122.579083,10.718213,presence,42,7.0,1
122.56568,10.750511,presence,42,7.0,1
122.542777,10.69443,presence,42,7.0,1
120.964051,14.59144,presence,17,6.0,1
125.056629,7.248728,presence,43,7.0,1
122.07299,6.94777,presence,42,7.0,1
123.266553,9.250593,presence,42,7.0,1
123.120035,9.591569,presence,42,7.0,1
123.221774,10.035662,presence,42,7.0,1
122.937708,9.721659,presence,42,7.0,1
123.157189,9.515617,presence,42,7.0,1
121.123684,14.277861,presence,17,6.0,1
121.1194,14.5853,presence,17,6.0,1
121.024931,14.556058,presence,17,6.0,1
121.131613,14.569499,presence,17,6.0,1
120.6028,16.3896,presence,17,6.0,1
120.601787,16.407209,presence,17,6.0,1
120.5747,16.4209,presence,17,6.0,1
122.570844,10.716358,presence,42,7.0,1
122.564149,10.766785,presence,42,7.0,1
122.619,11.071,presence,42,7.0,1
